106,1,,,70,C3v^2,p 3 -2,p 3 1 m,p 3 1 m
107,1,,,71,D3d^1,-p 3 2,p -3 1 m,p -3 1 2/m
108,1,,,72,D3d^2,-p 3 2=,p -3 m 1,p -3 2/m 1
109,1,,,73,C6^1,p 6,p 6,p 6
110,1,,,74,C3h^1,p -6,p -6,p -6
111,1,,,75,C6h^1,-p 6,p 6/m,p 6/m
112,1,,,76,D6^1,p 6 2,p 6 2 2,p 6 2 2
113,1,,,77,C6v^1,p 6 -2,p 6 m m,p 6 m m
114,1,,,78,D3h^1,p -6 2,p -6 m 2,p -6 m 2
115,1,,,79,D3h^2,p -6 -2,p -6 2 m,p -6 2 m
116,1,,,80,D6h^1,-p 6 2,p 6/m m m,p 6/m m m
